"Unnamed: 0","benchmark","config","gsizes","samples","devices","timeouts","notes"
"1","amd-app-sdk-3.0-BinomialOption-binomial_options","","","","","",""
"8","amd-app-sdk-3.0-PrefixSum-group_prefixSum","","","","","",""
"9","amd-app-sdk-3.0-Reduction-reduce","","","","","",""
"11","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","","","","","",""
"16","amd-app-sdk-3.0-SobelFilter-sobel_filter","","","","","",""
"18","npb-3.3-BT-compute_rhs1","","","","","",""
"48","npb-3.3-CG-conj_grad_0","","","","","",""
"49","npb-3.3-CG-init_mem_0","","","","","",""
"50","npb-3.3-CG-init_mem_1","","","","","",""
"52","npb-3.3-CG-main_1","","","","","",""
"53","npb-3.3-CG-main_2","","","","","",""
"61","npb-3.3-CG-makea_7","","","","","",""
"67","npb-3.3-FT-compute_indexmap","","","","","",""
"69","npb-3.3-FT-evolve","","","","","",""
"70","npb-3.3-FT-init_ui","","","","","",""
"78","npb-3.3-LU-l2norm","","","","","",""
"82","npb-3.3-LU-pintgr_reduce","","","","","",""
"106","npb-3.3-SP-compute_rhs1","","","","","",""
"131","nvidia-4.2-DotProduct-DotProduct","","","","","",""
"134","nvidia-4.2-MatVecMul-MatVecMulCoalesced1","","","","","",""
"135","nvidia-4.2-MatVecMul-MatVecMulCoalesced2","","","","","",""
"136","nvidia-4.2-MatVecMul-MatVecMulCoalesced3","","","","","",""
"139","nvidia-4.2-MatrixMul-matrixMul","","","","","",""
"142","nvidia-4.2-VectorAdd-VectorAdd","","","","","",""
"151","polybench-gpu-1.0-2DConvolution-Convolution2D_kernel","","","","","",""
"152","polybench-gpu-1.0-2mm-mm2_kernel1","","","","","",""
"155","polybench-gpu-1.0-3mm-mm3_kernel1","","","","","",""
"156","polybench-gpu-1.0-3mm-mm3_kernel2","","","","","",""
"157","polybench-gpu-1.0-3mm-mm3_kernel3","","","","","",""
"158","polybench-gpu-1.0-atax-atax_kernel1","","","","","",""
"159","polybench-gpu-1.0-atax-atax_kernel2","","","","","",""
"160","polybench-gpu-1.0-bicg-bicgKernel1","","","","","",""
"161","polybench-gpu-1.0-bicg-bicgKernel2","","","","","",""
"163","polybench-gpu-1.0-correlation-mean_kernel","","","","","",""
"165","polybench-gpu-1.0-correlation-std_kernel","","","","","",""
"167","polybench-gpu-1.0-covariance-mean_kernel","","","","","",""
"169","polybench-gpu-1.0-gemm-gemm","","","","","",""
"170","polybench-gpu-1.0-gesummv-gesummv_kernel","","","","","",""
"174","polybench-gpu-1.0-mvt-mvt_kernel1","","","","","",""
"175","polybench-gpu-1.0-mvt-mvt_kernel2","","","","","",""
"176","polybench-gpu-1.0-syr2k-syr2k_kernel","","","","","",""
"177","polybench-gpu-1.0-syrk-syrk_kernel","","","","","",""
"181","rodinia-3.1-bfs-BFS_2","","","","","",""
"185","rodinia-3.1-cfd-memset_kernel","","","","","",""
"189","rodinia-3.1-hotspot-hotspot","","","","","",""
"199","rodinia-3.1-nn-NearestNeighbor","","","","","",""
"202","rodinia-3.1-particlefilter-find_index_kernel","","","","","",""
"206","rodinia-3.1-pathfinder-dynproc_kernel","","","","","",""
"207","rodinia-3.1-streamcluster-memset_kernel","","","","","",""
"210","shoc-1.1.5-FFT-chk1D_512","","","","","",""
"217","shoc-1.1.5-Reduction-reduce","","","","","",""
"244","shoc-1.1.5-S3D-rdwdot_kernel","","","","","",""
"246","shoc-1.1.5-Scan-reduce","","","","","",""
"249","shoc-1.1.5-Sort-reduce","","","","","",""
"256","shoc-1.1.5-Triad-Triad","","","","","",""
