"Unnamed: 0","benchmark","config","gsizes","samples","devices","timeouts","notes"
"2","amd-app-sdk-3.0-BitonicSort-bitonicSort","","","","","",""
"3","amd-app-sdk-3.0-BlackScholes-blackScholes","X","","","","","oclude can not compile/run this kernel"
"4","amd-app-sdk-3.0-FastWalshTransform-fastWalshTransform","","","","","",""
"6","amd-app-sdk-3.0-MatrixMultiplication-mmmKernel","","","","","",""
"7","amd-app-sdk-3.0-MatrixTranspose-matrixTranspose","X","","","","","oclude can not compile/run this kernel"
"10","amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","","","","","",""
"12","amd-app-sdk-3.0-ScanLargeArrays-prefixSum","","","","","",""
"13","amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution","","","","","",""
"14","amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass1","","","","","",""
"15","amd-app-sdk-3.0-SimpleConvolution-simpleSeparableConvolutionPass2","","","","","",""
"17","npb-3.3-BT-add","","","","","",""
"19","npb-3.3-BT-compute_rhs2","","","","","",""
"20","npb-3.3-BT-compute_rhs3","","","","","",""
"21","npb-3.3-BT-compute_rhs4","","","","","",""
"22","npb-3.3-BT-compute_rhs5","","","","","",""
"23","npb-3.3-BT-compute_rhs6","","","","","",""
"24","npb-3.3-BT-error_norm","X","","","","","oclude can not compile/run this kernel"
"25","npb-3.3-BT-exact_rhs1","","","","","",""
"26","npb-3.3-BT-exact_rhs2","X","","","","","oclude can not compile/run this kernel"
"27","npb-3.3-BT-exact_rhs3","X","","","","","oclude can not compile/run this kernel"
"28","npb-3.3-BT-exact_rhs4","X","","","","","oclude can not compile/run this kernel"
"29","npb-3.3-BT-exact_rhs5","","","","","",""
"30","npb-3.3-BT-initialize1","","","","","",""
"31","npb-3.3-BT-initialize2","X","","","","","oclude can not compile/run this kernel"
"32","npb-3.3-BT-initialize3","X","","","","","oclude can not compile/run this kernel"
"33","npb-3.3-BT-initialize4","X","","","","","oclude can not compile/run this kernel"
"34","npb-3.3-BT-initialize5","X","","","","","oclude can not compile/run this kernel"
"35","npb-3.3-BT-rhs_norm","","","","","",""
"36","npb-3.3-BT-x_solve","X","","","","","oclude can not compile/run this kernel"
"37","npb-3.3-BT-x_solve1","","","","","",""
"38","npb-3.3-BT-x_solve2","","","","","",""
"39","npb-3.3-BT-x_solve3","","","","","",""
"40","npb-3.3-BT-y_solve","X","","","","","oclude can not compile/run this kernel"
"41","npb-3.3-BT-y_solve1","","","","","",""
"42","npb-3.3-BT-y_solve2","","","","","",""
"43","npb-3.3-BT-y_solve3","","","","","",""
"44","npb-3.3-BT-z_solve","X","","","","","oclude can not compile/run this kernel"
"45","npb-3.3-BT-z_solve1","","","","","",""
"46","npb-3.3-BT-z_solve2","","","","","",""
"47","npb-3.3-BT-z_solve3","","","","","",""
"48","npb-3.3-CG-conj_grad_0","","","","","",""
"49","npb-3.3-CG-init_mem_0","","","","","",""
"50","npb-3.3-CG-init_mem_1","","","","","",""
"51","npb-3.3-CG-main_0","","","","","",""
"52","npb-3.3-CG-main_1","","","","","",""
"53","npb-3.3-CG-main_2","","","","","",""
"54","npb-3.3-CG-makea_0","X","","","","","oclude can not compile/run this kernel"
"55","npb-3.3-CG-makea_1","","","","","",""
"56","npb-3.3-CG-makea_2","","","","","",""
"57","npb-3.3-CG-makea_3","X","","","","","oclude can not compile/run this kernel"
"58","npb-3.3-CG-makea_4","","","","","",""
"59","npb-3.3-CG-makea_5","","","","","",""
"60","npb-3.3-CG-makea_6","","","","","",""
"61","npb-3.3-CG-makea_7","","","","","",""
"62","npb-3.3-EP-embar","X","","","","","oclude can not compile/run this kernel"
"63","npb-3.3-FT-cffts1","X","","","","","oclude can not compile/run this kernel"
"64","npb-3.3-FT-cffts2","X","","","","","oclude can not compile/run this kernel"
"65","npb-3.3-FT-cffts3","X","","","","","oclude can not compile/run this kernel"
"66","npb-3.3-FT-checksum","","","","","",""
"67","npb-3.3-FT-compute_indexmap","","","","","",""
"68","npb-3.3-FT-compute_initial_conditions","X","","","","","oclude can not compile/run this kernel"
"69","npb-3.3-FT-evolve","","","","","",""
"70","npb-3.3-FT-init_ui","","","","","",""
"71","npb-3.3-LU-blts","","","","","",""
"72","npb-3.3-LU-buts","","","","","",""
