"gsize","cpugpu","device","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","kernel","input_bytes"
"1000","cpu","IntelXeonCPU","48000","0.224228045","0.1268778834210205","gold2","0.3511059284210205","0.3511059284210205","amd-app-sdk-3.0-BinomialOption-binomial_options","48004"
"1000","cpu","CPU","48000","1.676285055","1.375010225456543","silver1","3.051295280456543","3.051295280456543","amd-app-sdk-3.0-BinomialOption-binomial_options","48004"
"1000","cpu","CPU","48000","0.89118239","1.4458537428125","epyc7","2.3370361328125","2.3370361328125","amd-app-sdk-3.0-BinomialOption-binomial_options","48004"
"1000","cpu","CPU","48000","0.25365639","1.2331826660150147","dungani","1.4868390560150146","1.4868390560150146","amd-app-sdk-3.0-BinomialOption-binomial_options","48004"
"1000","cpu","IntelXeonCPU","4000","0.05734455","0.0659571944610595","gold2","0.1233017444610595","0.1233017444610595","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","8000"
"1000","cpu","CPU","4000","0.54083952","0.6060957045330811","silver1","1.146935224533081","1.146935224533081","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","8000"
"1000","cpu","CPU","4000","0.38813599","0.5205630456445313","epyc7","0.9086990356445312","0.9086990356445312","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","8000"
"1000","cpu","CPU","4000","0.01050281","0.5815846972479248","dungani","0.5920875072479248","0.5920875072479248","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","8000"
"3000","cpu","IntelXeonCPU","12000","0.0603675599999999","0.0678229574255371","gold2","0.1281905174255371","0.128190517425537","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","24000"
"3000","cpu","CPU","12000","0.6072961299999999","0.6546069175616455","silver1","1.2619030475616455","1.2619030475616455","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","24000"
"3000","cpu","CPU","12000","0.34499919","0.7200380605187988","epyc7","1.0650372505187988","1.0650372505187988","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","24000"
"3000","cpu","CPU","12000","0.01286509","0.6009125474816894","dungani","0.6137776374816895","0.6137776374816895","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","24000"
"5000","cpu","IntelXeonCPU","20000","0.0678508","0.0686605258361816","gold2","0.1365113258361816","0.1365113258361815","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","40000"
"5000","cpu","CPU","20000","0.528625045","0.6606712005749512","silver1","1.1892962455749512","1.1892962455749512","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","40000"
"5000","cpu","CPU","20000","0.4319941049999999","0.5635095590167236","epyc7","0.9955036640167236","0.9955036640167236","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","40000"
"5000","cpu","CPU","20000","0.013994025","0.3649830353179931","dungani","0.3789770603179931","0.3789770603179931","amd-app-sdk-3.0-ScanLargeArrays-blockAddition","40000"
