kernel,gsize,device,input_bytes,output_bytes,samples,device_mean,device_median,device_var,hostcode_mean,hostcode_median,hostcode_var,transfer_mean,transfer_median,transfer_var
amd-app-sdk-3.0-BinomialOption-binomial_options,1000,NvidiaA100,48004,48000,200,0.06329856,0.012288,0.004875596097126399,0.2170562744140625,0.16701221466064453,0.0057289179267172585,0.1537577144140625,0.15014537805175782,0.0006316531839999085
amd-app-sdk-3.0-PrefixSum-group_prefixSum,1000,NvidiaA100,8008,8000,200,0.0128512,0.013312,1.6016998399999997e-06,0.15567421913146973,0.1533031463623047,0.0005361802081438327,0.14282301913146975,0.140299890625,0.0005178159656010202
amd-app-sdk-3.0-Reduction-reduce,1000,NvidiaA100,32000,32000,200,0.011509759999999999,0.011264,3.2006733823999998e-06,0.17036080360412598,0.14722347259521484,0.004326409337807036,0.15885104360412597,0.13659068188476564,0.004133741261189435
amd-app-sdk-3.0-Reduction-reduce,3000,NvidiaA100,96000,96000,200,0.009728,0.009216,3.984588799999994e-07,0.15361428260803223,0.15056133270263672,0.00046845639047887744,0.1438862826080322,0.14098770483398437,0.0004562925934995024
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,1000,NvidiaA100,8004,12000,200,0.01283072,0.011264,5.011249561599998e-06,0.20131826400756836,0.16117095947265625,0.004667017941528684,0.18848754400756837,0.14982291302490236,0.004393448478199659
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,3000,NvidiaA100,24004,36000,200,0.01199616,0.012288,5.387321344000001e-07,0.16601920127868652,0.16367435455322266,0.0005065801801151792,0.15402304127868652,0.1515758895263672,0.0004902217076597355
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,5000,NvidiaA100,40004,60000,200,0.01063424,0.010239999999999999,4.2653450240000027e-07,0.16139864921569824,0.15926361083984375,0.0004758068698151874,0.15076440921569825,0.14854677368164063,0.0004630852964074311
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,7000,NvidiaA100,56004,84000,200,0.01185792,0.012288,2.1743271936000004e-06,0.16847968101501465,0.16760826110839844,0.0004954600839823797,0.15662176101501465,0.15552351684570315,0.00048005379594160476
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,9000,NvidiaA100,72004,108000,200,0.01238528,0.012288,4.3618140159999974e-07,0.17485380172729492,0.1709461212158203,0.000914219407377459,0.16246852172729492,0.15865812121582032,0.0008931038553806216
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,11000,NvidiaA100,88004,132000,200,0.01202688,0.012288,5.871763456000002e-07,0.17452359199523926,0.17213821411132812,0.0005123936816175956,0.16249671199523927,0.1600886326904297,0.0004959856064983519
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,1000,NvidiaA100,8000,4000,200,0.01001472,0.010239999999999999,1.0292822015999996e-06,0.13686299324035645,0.13375282287597656,0.0007318870402173161,0.12684827324035644,0.12382156713867187,0.0006888270157782911
