"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device","#machine"
"shoc-1.1.5-S3D-qssa2_kernel","1000","NvidiaA100","12000","8000","0.03337728","0.1632202961413574","epyc7","0.1965975761413574","0.1965975761413574","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","3000","NvidiaA100","36000","24000","0.0396492799999999","0.1382527032611084","epyc7","0.1779019832611084","0.1779019832611083","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","5000","NvidiaA100","60000","40000","0.03902976","0.1341801456243896","epyc7","0.1732099056243896","0.1732099056243896","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","7000","NvidiaA100","84000","56000","0.040832","0.1374311874084472","epyc7","0.1782631874084472","0.1782631874084472","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","9000","NvidiaA100","108000","72000","0.0442112","0.1442050425994873","epyc7","0.1884162425994873","0.1884162425994873","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","11000","NvidiaA100","132000","88000","0.04304384","0.1439979194909668","epyc7","0.1870417594909668","0.1870417594909668","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","13000","NvidiaA100","156000","104000","0.04415488","0.1460793042651367","epyc7","0.1902341842651367","0.1902341842651367","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","15000","NvidiaA100","180000","120000","0.0449279999999999","0.1487620615692138","epyc7","0.1936900615692138","0.1936900615692137","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","17000","NvidiaA100","204000","136000","0.04397056","0.1522336254858398","epyc7","0.1962041854858398","0.1962041854858398","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","19000","NvidiaA100","228000","152000","0.0437350399999999","0.153638588616333","epyc7","0.197373628616333","0.1973736286163329","1","7"
"shoc-1.1.5-S3D-qssa2_kernel","1000","Tesla_V100_SXM2_32GB","12000","8000","0.02567168","0.2275884556506347","silver1","0.2532601356506347","0.2532601356506347","1","1"
"shoc-1.1.5-S3D-qssa2_kernel","3000","Tesla_V100_SXM2_32GB","36000","24000","0.02765312","0.2461241264752197","silver1","0.2737772464752197","0.2737772464752196","1","1"
"shoc-1.1.5-S3D-qssa2_kernel","5000","Tesla_V100_SXM2_32GB","60000","40000","0.0258663999999999","0.2216514241729736","silver1","0.2475178241729736","0.2475178241729735","1","1"
"shoc-1.1.5-S3D-qssa2_kernel","7000","Tesla_V100_SXM2_32GB","84000","56000","0.02544656","0.2013526896490478","silver1","0.2267992496490478","0.2267992496490478","1","1"
"shoc-1.1.5-S3D-qssa2_kernel","9000","Tesla_V100_SXM2_32GB","108000","72000","0.0258868799999999","0.2111286057635498","silver1","0.2370154857635498","0.2370154857635497","1","1"
"shoc-1.1.5-S3D-qssa2_kernel","11000","Tesla_V100_SXM2_32GB","132000","88000","0.02777104","0.2140450038537597","silver1","0.2418160438537597","0.2418160438537597","1","1"
"shoc-1.1.5-S3D-qssa2_kernel","13000","Tesla_V100_SXM2_32GB","156000","104000","0.0277043199999999","0.2233707093731689","silver1","0.2510750293731689","0.2510750293731688","1","1"
