"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device","#machine"
"shoc-1.1.5-S3D-rdwdot_kernel","1000","GeForceGTX","12004","4000","0.01032352","0.3178787276196289","gold2","0.3282022476196289","0.3282022476196288","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","3000","GeForceGTX","36004","12000","0.01351872","0.2456363150189209","gold2","0.2591550350189209","0.2591550350189209","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","5000","GeForceGTX","60004","20000","0.01354976","0.2666588276464843","gold2","0.2802085876464844","0.2802085876464843","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","7000","GeForceGTX","84004","28000","0.0164752","0.3330547816131591","gold2","0.3495299816131592","0.3495299816131591","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","9000","GeForceGTX","108004","36000","0.01903264","0.320630388717041","gold2","0.339663028717041","0.339663028717041","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","11000","GeForceGTX","132004","44000","0.02184864","0.322697201217041","gold2","0.344545841217041","0.3445458412170409","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","13000","GeForceGTX","156004","52000","0.02518832","0.35864055840271","gold2","0.3838288784027099","0.3838288784027099","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","15000","GeForceGTX","180004","60000","0.02569856","0.3380113666052246","gold2","0.3637099266052246","0.3637099266052245","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","17000","GeForceGTX","204004","68000","0.03009216","0.3563497860296631","gold2","0.3864419460296631","0.3864419460296631","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","19000","GeForceGTX","228004","76000","0.03173888","0.3112536641741943","gold2","0.3429925441741943","0.3429925441741943","1","2"
"shoc-1.1.5-S3D-rdwdot_kernel","1000","QuadroM4000","12004","4000","0.01241072","0.1855994862225342","dungani","0.1980102062225341","0.1980102062225341","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","1000","TeslaK40","12004","4000","0.0201196799999999","0.1861553062670898","dungani","0.2062749862670898","0.2062749862670896","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","3000","QuadroM4000","36004","12000","0.01711376","0.1968085021917724","dungani","0.2139222621917724","0.2139222621917724","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","3000","TeslaK40","36004","12000","0.020856","0.1981016625823974","dungani","0.2189576625823974","0.2189576625823974","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","5000","QuadroM4000","60004","20000","0.02329168","0.2074557813189697","dungani","0.2307474613189697","0.2307474613189697","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","5000","TeslaK40","60004","20000","0.0259014399999999","0.21840369381958","dungani","0.24430513381958","0.2443051338195799","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","7000","QuadroM4000","84004","28000","0.0311568","0.2220675728637695","dungani","0.2532243728637695","0.2532243728637695","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","7000","TeslaK40","84004","28000","0.0255384","0.2314041106048584","dungani","0.2569425106048584","0.2569425106048584","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","9000","QuadroM4000","108004","36000","0.03532064","0.2387570138848877","dungani","0.2740776538848877","0.2740776538848877","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","9000","TeslaK40","108004","36000","0.03717296","0.2422214281988525","dungani","0.2793943881988525","0.2793943881988525","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","11000","QuadroM4000","132004","44000","0.04205056","0.2527194423651123","dungani","0.2947700023651123","0.2947700023651123","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","11000","TeslaK40","132004","44000","0.03702528","0.2603804397570801","dungani","0.2974057197570801","0.2974057197570801","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","13000","QuadroM4000","156004","52000","0.04567056","0.2686485737585449","dungani","0.3143191337585449","0.3143191337585449","1","3"
"shoc-1.1.5-S3D-rdwdot_kernel","13000","TeslaK40","156004","52000","0.04343184","0.2729388856317138","dungani","0.3163707256317138","0.3163707256317138","1","3"
