"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device","#machine"
"shoc-1.1.5-S3D-ratt3_kernel","3000","IntelXeonCPU","36004","12000","0.11989032","0.0730224970013427","gold2","0.1929128170013427","0.1929128170013427","0","2"
"shoc-1.1.5-S3D-ratt3_kernel","5000","IntelXeonCPU","60004","20000","0.120336315","0.073760250246582","gold2","0.194096565246582","0.194096565246582","0","2"
"shoc-1.1.5-S3D-ratt3_kernel","7000","IntelXeonCPU","84004","28000","0.1394596149999999","0.0724086711328125","gold2","0.2118682861328125","0.2118682861328124","0","2"
"shoc-1.1.5-S3D-ratt3_kernel","9000","IntelXeonCPU","108004","36000","0.19028604","0.1159614327630615","gold2","0.3062474727630615","0.3062474727630615","0","2"
"shoc-1.1.5-S3D-ratt3_kernel","11000","IntelXeonCPU","132004","44000","0.17321914","0.0710395021966552","gold2","0.2442586421966552","0.2442586421966552","0","2"
"shoc-1.1.5-S3D-ratt3_kernel","13000","IntelXeonCPU","156004","52000","0.2037033","0.0718608937255859","gold2","0.2755641937255859","0.2755641937255859","0","2"
"shoc-1.1.5-S3D-ratt3_kernel","15000","IntelXeonCPU","180004","60000","0.23554945","0.0735697745483398","gold2","0.3091192245483398","0.3091192245483398","0","2"
"shoc-1.1.5-S3D-ratt3_kernel","17000","IntelXeonCPU","204004","68000","0.24468017","0.0730471573468017","gold2","0.3177273273468017","0.3177273273468017","0","2"
"shoc-1.1.5-S3D-ratt3_kernel","19000","IntelXeonCPU","228004","76000","0.2487546","0.0739342179779052","gold2","0.3226888179779053","0.3226888179779051","0","2"
"shoc-1.1.5-S3D-ratt10_kernel","7000","IntelXeonCPU","28004","28000","0.2427810399999999","0.0798469812402343","gold2","0.3226280212402344","0.3226280212402342","0","2"
"shoc-1.1.5-S3D-ratt10_kernel","9000","IntelXeonCPU","36004","36000","0.2382671499999999","0.0682497357574463","gold2","0.3065168857574463","0.3065168857574462","0","2"
"shoc-1.1.5-S3D-ratt10_kernel","11000","IntelXeonCPU","44004","44000","0.2772506449999999","0.0679413105664062","gold2","0.3451919555664062","0.3451919555664061","0","2"
"shoc-1.1.5-S3D-ratt10_kernel","13000","IntelXeonCPU","52004","52000","0.347243735","0.0700901063238525","gold2","0.4173338413238525","0.4173338413238525","0","2"
"shoc-1.1.5-S3D-ratt10_kernel","15000","IntelXeonCPU","60004","60000","0.3599566099999999","0.0747555615545654","gold2","0.4347121715545654","0.4347121715545653","0","2"
"shoc-1.1.5-S3D-ratt10_kernel","17000","IntelXeonCPU","68004","68000","0.3697930949999999","0.0702632290051269","gold2","0.4400563240051269","0.4400563240051268","0","2"
"shoc-1.1.5-S3D-ratt10_kernel","19000","IntelXeonCPU","76004","76000","0.424053595","0.0696981692974853","gold2","0.4937517642974853","0.4937517642974853","0","2"
"nvidia-4.2-VectorAdd-VectorAdd","1000","IntelXeonCPU","8004","4000","0.059615125","0.0745716196899414","gold2","0.1341867446899414","0.1341867446899414","0","2"
"nvidia-4.2-VectorAdd-VectorAdd","3000","IntelXeonCPU","24004","12000","0.06557758","0.0818485483874511","gold2","0.1474261283874511","0.1474261283874511","0","2"
"nvidia-4.2-VectorAdd-VectorAdd","5000","IntelXeonCPU","40004","20000","0.067630365","0.0693387245080566","gold2","0.1369690895080566","0.1369690895080565","0","2"
"nvidia-4.2-VectorAdd-VectorAdd","7000","IntelXeonCPU","56004","28000","0.0847375","0.0948214923858642","gold2","0.1795589923858642","0.1795589923858642","0","2"
"nvidia-4.2-VectorAdd-VectorAdd","9000","IntelXeonCPU","72004","36000","0.09094088","0.0715270765429687","gold2","0.1624679565429687","0.1624679565429687","0","2"
"nvidia-4.2-VectorAdd-VectorAdd","11000","IntelXeonCPU","88004","44000","0.094320885","0.0704406582739257","gold2","0.1647615432739257","0.1647615432739257","0","2"
"nvidia-4.2-VectorAdd-VectorAdd","13000","IntelXeonCPU","104004","52000","0.09560251","0.0685367607824707","gold2","0.1641392707824707","0.1641392707824707","0","2"
