"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device","#machine"
"shoc-1.1.5-S3D-ratt3_kernel","1000","GeForceGTX","12004","4000","0.0131367999999999","0.2738667171508789","gold2","0.2870035171508789","0.2870035171508788","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","3000","GeForceGTX","36004","12000","0.0135694399999999","0.3277839764428711","gold2","0.3413534164428711","0.341353416442871","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","5000","GeForceGTX","60004","20000","0.01416944","0.2856860306573486","gold2","0.2998554706573486","0.2998554706573486","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","7000","GeForceGTX","84004","28000","0.01524512","0.2697723703869629","gold2","0.2850174903869629","0.2850174903869629","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","9000","GeForceGTX","108004","36000","0.01681088","0.2600193163806152","gold2","0.2768301963806152","0.2768301963806152","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","11000","GeForceGTX","132004","44000","0.01953648","0.3574593219256592","gold2","0.3769958019256592","0.3769958019256592","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","13000","GeForceGTX","156004","52000","0.0208148799999999","0.3525641120806885","gold2","0.3733789920806885","0.3733789920806884","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","15000","GeForceGTX","180004","60000","0.0214888","0.3125415897857665","gold2","0.3340303897857666","0.3340303897857665","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","17000","GeForceGTX","204004","68000","0.02411856","0.3322957580847168","gold2","0.3564143180847168","0.3564143180847168","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","19000","GeForceGTX","228004","76000","0.02625472","0.3204953009808349","gold2","0.3467500209808349","0.3467500209808349","1","2"
"shoc-1.1.5-S3D-ratt3_kernel","1000","QuadroM4000","12004","4000","0.0177191999999999","0.1807594987304687","dungani","0.1984786987304687","0.1984786987304686","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","1000","TeslaK40","12004","4000","0.0232928","0.1846856870147705","dungani","0.2079784870147705","0.2079784870147705","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","3000","QuadroM4000","36004","12000","0.01805264","0.1955942487329101","dungani","0.2136468887329101","0.2136468887329101","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","3000","TeslaK40","36004","12000","0.02382384","0.1980711394769287","dungani","0.2218949794769287","0.2218949794769287","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","5000","QuadroM4000","60004","20000","0.0207406399999999","0.2065843226159668","dungani","0.2273249626159668","0.2273249626159666","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","5000","TeslaK40","60004","20000","0.0257215999999999","0.2107431388458251","dungani","0.2364647388458252","0.236464738845825","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","7000","QuadroM4000","84004","28000","0.0241496","0.2212737169555664","dungani","0.2454233169555664","0.2454233169555664","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","7000","TeslaK40","84004","28000","0.02531232","0.2265256488262939","dungani","0.2518379688262939","0.2518379688262939","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","9000","QuadroM4000","108004","36000","0.0271848","0.2369364940216064","dungani","0.2641212940216064","0.2641212940216064","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","9000","TeslaK40","108004","36000","0.02884384","0.2424300113946533","dungani","0.2712738513946533","0.2712738513946533","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","11000","QuadroM4000","132004","44000","0.03290896","0.2549027961340332","dungani","0.2878117561340332","0.2878117561340332","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","11000","TeslaK40","132004","44000","0.0289439999999999","0.2604031717834472","dungani","0.2893471717834472","0.2893471717834471","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","13000","QuadroM4000","156004","52000","0.03486864","0.2681792554315185","dungani","0.3030478954315185","0.3030478954315185","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","13000","TeslaK40","156004","52000","0.03621264","0.2741928527825927","dungani","0.3104054927825928","0.3104054927825927","1","3"
"shoc-1.1.5-S3D-ratt3_kernel","15000","QuadroM4000","180004","60000","0.0414176","0.2853779780029297","dungani","0.3267955780029297","0.3267955780029297","1","3"
